name,x,y
구엄리돌염전,126.3773817,33.48256859
노루생태관찰원,126.6266893,33.44432392
마라도성당,126.269121,33.11574558
물찻오름,126.6665803,33.427617600000005
상효원,126.5860085,33.30721676
새섬,126.5584239,33.23920117
섶섬(서귀포해양도립공원),126.5967736,33.25095804
제주올레 15-A코스,126.3192813,33.430232399999994
제주올레 6코스,126.5960269,33.237139
최남단 체험 감귤농장(가뫼물 농촌생태공원),126.6937537,33.28991633
판포포구,126.1996227,33.36541015
한라생태숲,126.5971969,33.43108966
건강과성박물관,126.3465837,33.25484697
공천포,126.620155,33.33965926
돈내코유원지,126.584437,33.30013106
렛츠런파크,126.3931243,33.4098413
문섬(서귀포해양도립공원),126.5925467,33.24467495
산방산탄산온천,126.29888970000002,33.24821659
세화해안도로,126.862609,33.52103905
소정방폭포,126.5769551,33.2451792
신비의도로,126.4872258,33.45119586
위미항,126.6623803,33.27127547
제주별빛누리공원[제한적운영중],126.5491861,33.44457606
제주센트럴파크,126.6749133,33.4342519
제주올레 14코스,126.2247769,33.37124962
제주올레 5코스,126.71960459999998,33.2778173
조천함덕해안도로,126.6369788,33.53383464
큰노꼬메오름,126.41585159999998,33.39223981
금능석물원,126.2267365,33.38469165
낙천리아홉굿의자마을,126.226255,33.32790274
도두항,126.4649824,33.50612757
신창풍차해안도로,126.1739085,33.343428499999995
오조포구,126.9066863,33.46134289
자구리공원,126.5689408,33.24437926
전농로 서사라문화거리,126.5223717,33.5065875
제주도립김창열미술관,126.2686755,33.3390792
제주올레 1코스,126.914914,33.47194623
톨칸이,126.9544486,33.49205505
한림항,126.2625564,33.41907194
고내리포구,126.3413413,33.46584209
국립제주박물관,126.5479096,33.51379671
그랑블루 요트투어,126.4394776,33.23876739
김녕금속공예벽화마을,126.7465077,33.55793081
사라봉,126.546156,33.51762692
서귀포유람선,126.55826609999998,33.23979542
서귀포천문과학문화관,126.4604137,33.28885198
신창리포구,126.1812702,33.34316386
영주산,126.7975376,33.37947122
제주올레 17코스,126.4682176,33.50524352
조랑말체험공원,126.7362847,33.38309593
테디베어사파리 테지움,126.3935364,33.4122175
화순금모래해수욕장,126.3357873,33.23984673
곶자왈,126.2563499,33.26699995
그리스신화박물관 / 트릭아이미술관,126.3575213,33.34808613
누웨마루거리(구 바오젠),126.4902939,33.48775438
대장금촬영지(제주민속촌),126.8430882,33.32128714
두맹이골목,126.5349117,33.51201573
성산오조리해안,126.92394009999998,33.467855
안돌오름,126.7561094,33.45724281
영실기암,126.4660227,33.27853606
제주국제컨벤션센터 icc,126.4244429,33.24128964
제주올레 9코스,126.3613058,33.23711621
종달리해변,126.9094768,33.49633814
천아숲길 천아계곡,126.4230097,33.35426967
천왕사,126.4949356,33.40721315
청수곶자왈,126.2476737,33.31756503
초콜릿박물관,126.2299329,33.25705283
해맞이해안로,126.7578354,33.55010782
김녕해안도로,126.7578354,33.55010782
도순다원,126.4828907,33.27239528
민오름(구좌읍),126.7590993,33.44473659
백조일손지묘(백조일손지지),126.3065141,33.23169414
번개과학체험관,126.5888282,33.289518300000005
별방진,126.8827049,33.52685294
비체올린,126.2181908,33.34944769
사라봉공원,126.5476898,33.51866341
순례자의교회,126.1857971,33.3165181
신화테마파크,126.307553,33.30653711
아라리오뮤지엄탑동시네마,126.5233969,33.51744525
용두암해안도로카페거리,126.4928454,33.51760261
이승이오름(이승악),126.63108970000002,33.314753
"저지오름(닥몰오름,새오름)",126.2509642,33.33297359
제주올레 19코스,126.6422173,33.54063350000001
제주올레 20코스,126.8114082,33.55413449
제주올레 4코스,126.75357859999998,33.29978497
중문골프장,126.41143429999998,33.25421861
진아영 할머니 집터,126.2145991,33.37612941
탐나라공화국(제주남이섬),126.325677,33.33448216
협재굴(한림공원),126.2396912,33.39022486
곽지레저 & 서프나우,126.3041138,33.44913195
두산봉(말미오름),126.8840616,33.4786495
로봇스퀘어,126.8308715,33.54001026
문화예술마을 저지리 농어촌체험마을,126.2558494,33.3327001
빌레못동굴,126.3497286,33.40435171
사려니오름,126.6339831,33.36885119
산지천,126.531518,33.51503211
생이기정,126.16728940000002,33.31562178
성읍녹차마을,126.7899606,33.3810755
송당본향당,126.7717935,33.46041424
쉬리의언덕,126.4055743,33.24416948
이호테우해수욕장,126.4558929,33.49619657
장전리 벚꽃축제길,126.390602,33.4432746
제주추사관,126.278494,33.24979614
조함해안도로,126.63689340000002,33.5438453
한라감귤체험농원,126.8844934,33.44252977
형제해안도로,126.280157,33.20100367
거슨새미오름,126.7608574,33.45057854
걸매생태공원,126.5484028,33.24156227
공천포구,126.620155,33.33965926
김만덕객주,126.5321836,33.51657715
다랑쉬굴,126.8318153,33.46970533
대한민국최남단기념비/ 마라도 기념비,126.2684382,33.11411341
동검은이오름(거미오름),126.8053664,33.44877906
민오름(봉개동),126.6099213,33.47968091
붉은오름(표선면),126.6756706,33.40142876
성읍랜드,126.7873067,33.39859348
송당승마장,126.7381789,33.43644906
어승생승마장 Horseland Jeju,126.4904092,33.42575981
제주세계자연유산센터,126.7147521,33.45691987
청초밭영농조합법인,126.7799946,33.41846891
탑동해변공연장,126.5239547,33.51814757
포레스트 판타지아,126.3222874,33.2541298
협재포구,126.2459881,33.38701241
곽지해수욕장야영장,126.3055372,33.45078379
당오름,126.7769074,33.46608681
모구리오름,126.822159,33.40662817
방림원,126.2685129,33.33722842
서귀포 펍크롤,126.5616186,33.2477456
추사 유배길 - 3코스 사색의 길,126.2884841,33.23929013
해적잠수함,126.1645024,33.30823885
화조원,126.3720053,33.41130805
막숙,126.5157295,33.23786619
쌍용굴(한림공원),126.2396912,33.39022486
제주난타,126.5479104,33.44582735
제주항일기념관,126.6407255,33.54102729
평화통일 불사리탑,126.6368778,33.53151013
관음사 템플스테이,126.55875079999998,33.42172037
전쟁평화박물관,126.249548,33.30581859
